latitude,longitude,date,currentlevel,B02,B03,B04,B08,B11,B12,NDVI,IOI,CMI,currentlevel_ft
11.17917,76.75833,2015-05-14,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.372
11.17917,76.75833,2015-08-24,16.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.08799
11.17917,76.75833,2015-11-04,14.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42615
11.17917,76.75833,2016-05-14,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4191
11.17917,76.75833,2016-08-24,17.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.20494
11.17917,76.75833,2016-11-04,19.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.81545
11.17917,76.75833,2017-01-04,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.9638
11.17917,76.75833,2017-05-14,18.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.17495
11.17917,76.75833,2017-08-24,20.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.76835000000001
11.17917,76.75833,2017-11-04,15.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.06806
11.17917,76.75833,2018-01-21,10.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.581739999999996
11.17917,76.75833,2018-05-04,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.701700000000002
11.17917,76.75833,2018-08-29,11.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.89555000000001
11.17917,76.75833,2018-11-16,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33656
11.17917,76.75833,2019-01-26,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.19385
11.17917,76.75833,2019-05-29,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8084
11.17917,76.75833,2019-08-29,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.386100000000006
11.17917,76.75833,2019-11-29,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.038450000000001
11.17917,76.75833,2020-01-09,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.63185
11.17917,76.75833,2020-08-24,15.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.37905000000001
11.17917,76.75833,2020-11-29,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.59725
11.17917,76.75833,2021-01-09,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7488
10.98333,76.83333,2013-01-04,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.169500000000003
10.98333,76.83333,2013-08-24,36.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.47691
10.98333,76.83333,2014-01-04,34.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.73516000000001
10.98333,76.83333,2014-05-14,34.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.24301000000001
10.98333,76.83333,2014-08-24,43.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.98598
10.98333,76.83333,2015-01-04,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.319450000000002
